year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url,has_forced_induction,state
2019,Mazda,ND Miata,43200,Clean,"Brookshire, TX 77423",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray,Black,30,27500,4/10/26,https://carsandbids.com/auctions/KPdmGpL7/2019-mazda-mx-5-miata-club,0,TX
2022,Mazda,ND Miata,16400,Clean,"Pensacola, FL 32526",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal Metallic,Black,5,21000,3/26/26,https://carsandbids.com/auctions/9eYZj22d/2022-mazda-mx-5-miata-club,0,FL
2022,Mazda,ND Miata,7100,Clean,"San Antonio, TX 78209",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal Metallic,Black,10,26500,3/19/26,https://carsandbids.com/auctions/37XllgYq/2022-mazda-mx-5-miata-grand-touring,0,TX
2021,Mazda,ND Miata,75200,Clean,"Manville, NJ 08835",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic White,Black,4,18000,3/12/26,https://carsandbids.com/auctions/30RE8qLP/2021-mazda-mx-5-miata-club,0,NJ
2023,Mazda,ND Miata,6600,Clean,"Fort Worth, TX 76126",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Snowflake White Pearl,Black,2,29000,3/4/26,https://carsandbids.com/auctions/3vBzlLM3/2023-mazda-mx-5-miata-club,0,TX
2021,Mazda,ND Miata,93400,Clean,"Deltona, FL 32725",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Polymetal Gray Metallic,White,0,18500,2/23/26,https://carsandbids.com/auctions/9lYk8nP2/2021-mazda-mx-5-miata-rf-grand-touring,0,FL
2016,Mazda,ND Miata,42300,Clean,"Elk Grove, CA 95758",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Ceramic Metallic,Black,1,16000,2/20/26,https://carsandbids.com/auctions/KP8m5k6N/2016-mazda-mx-5-miata-club,0,CA
2020,Mazda,ND Miata,3500,Clean,"Star, ID 83669",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal Metallic,Tan,0,26000,2/12/26,https://carsandbids.com/auctions/rN5zQJVW/2020-mazda-mx-5-miata-rf-grand-touring,0,ID
2018,Mazda,ND Miata,6500,Clean,"Burlington, NC 27215",2.0L I4,Rear-wheel drive,Automatic (6-Speed),Convertible,Machine Gray Metallic,Black/Gray,0,20000,2/10/26,https://carsandbids.com/auctions/92z4bOW9/2018-mazda-mx-5-miata-rf-grand-touring,0,NC
2024,Mazda,ND Miata,4900,Clean,"Chapel Hill, NC 27516",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Zircon Sand Metallic,Black,10,32000,1/29/26,https://carsandbids.com/auctions/rwMWyQvp/2024-mazda-mx-5-miata-grand-touring,0,NC
