year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url
2019,Mazda,ND Miata,"43,200",Clean (TX),"Brookshire, TX 77423",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray,Black,30,27500,4/10/26,https://carsandbids.com/auctions/KPdmGpL7/2019-mazda-mx-5-miata-club
2022,Mazda,ND Miata,"16,400",Clean (FL),"Pensacola, FL 32526",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal Metallic,Black,5,21000,3/26/26,https://carsandbids.com/auctions/9eYZj22d/2022-mazda-mx-5-miata-club
2022,Mazda,ND Miata,"7,100",Clean (TX),"San Antonio, TX 78209",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal Metallic,Black,10,26500,3/19/26,https://carsandbids.com/auctions/37XllgYq/2022-mazda-mx-5-miata-grand-touring
2016,Mazda,ND Miata,"73,300",Rebuilt (FL),"Melbourne, FL 32940",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Meteor Gray Mica,Black,2,10800,3/16/26,https://carsandbids.com/auctions/3pmjYxDd/2016-mazda-mx-5-miata-club
2021,Mazda,ND Miata,"75,200",Clean (NJ),"Manville, NJ 08835",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic White,Black,4,18000,3/12/26,https://carsandbids.com/auctions/30RE8qLP/2021-mazda-mx-5-miata-club
2023,Mazda,ND Miata,"6,600",Clean (TX),"Fort Worth, TX 76126",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Snowflake White Pearl,Black,2,29000,3/4/26,https://carsandbids.com/auctions/3vBzlLM3/2023-mazda-mx-5-miata-club
2021,Mazda,ND Miata,"93,400",Clean (FL),"Deltona, FL 32725",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Polymetal Gray Metallic,White,0,18500,2/23/26,https://carsandbids.com/auctions/9lYk8nP2/2021-mazda-mx-5-miata-rf-grand-touring
2016,Mazda,ND Miata,"42,300",Clean (CA),"Elk Grove, CA 95758",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Ceramic Metallic,Black,1,16000,2/20/26,https://carsandbids.com/auctions/KP8m5k6N/2016-mazda-mx-5-miata-club
2020,Mazda,ND Miata,"3,500",Clean (ID),"Star, ID 83669",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal Metallic,Tan,0,26000,2/12/26,https://carsandbids.com/auctions/rN5zQJVW/2020-mazda-mx-5-miata-rf-grand-touring
2018,Mazda,ND Miata,"6,500",Clean (NC),"Burlington, NC 27215",2.0L I4,Rear-wheel drive,Automatic (6-Speed),Convertible,Machine Gray Metallic,Black/Gray,0,20000,2/10/26,https://carsandbids.com/auctions/92z4bOW9/2018-mazda-mx-5-miata-rf-grand-touring
2024,Mazda,ND Miata,"4,900",Clean (NC),"Chapel Hill, NC 27516",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Zircon Sand Metallic,Black,10,32000,1/29/26,https://carsandbids.com/auctions/rwMWyQvp/2024-mazda-mx-5-miata-grand-touring
2019,Mazda,ND Miata,"32,600",Clean (NC),"Fletcher, NC 28732",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,0,22000,1/27/26,https://carsandbids.com/auctions/KDnymP1v/2019-mazda-mx-5-miata-rf-club
2022,Mazda,ND Miata,"8,800",Clean (ID),"Star, ID 83669",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Platinum Quartz Metallc,Terracotta,16,35373,1/12/26,https://carsandbids.com/auctions/rEqOvQbb/2022-mazda-mx-5-miata-rf-grand-touring
2016,Mazda,ND Miata,"61,400 Miles Shown",Clean (AZ),"Phoenix, AZ 85027",2.0L Supercharged I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Metallic,Black,9,16000,12/29/25,https://carsandbids.com/auctions/K1MnR4J4/2016-mazda-mx-5-miata-grand-touring
2021,Mazda,ND Miata,"6,400",Clean (DC),"Washington, DC 20002",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal Metallic,White,0,27000,12/8/25,https://carsandbids.com/auctions/3zvLyGqJ/2021-mazda-mx-5-miata-grand-touring
2024,Mazda,ND Miata,"2,600",Clean (TX),"Plano, TX 75074",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Aero Gray,Black,7,29000,12/5/25,https://carsandbids.com/auctions/KDGJZz6M/2024-mazda-mx-5-miata-club
2016,Mazda,ND Miata,"44,200",Clean (CA),"San Jose, CA 95132",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Black,Black,16,19000,12/4/25,https://carsandbids.com/auctions/3ok7xwma/2016-mazda-mx-5-miata-grand-touring
2024,Mazda,ND Miata,"5,200",Clean (NV),"Portland, OR 97220",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Aero Gray,Black,5,34000,11/12/25,https://carsandbids.com/auctions/3g5BQmNy/2024-mazda-mx-5-miata-rf-club
2018,Mazda,ND Miata,"36,100",Clean (CA),"San Mateo, CA 94402",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Machine Gray Metallic,Black,6,22000,11/11/25,https://carsandbids.com/auctions/3gA6OBge/2018-mazda-mx-5-miata-club
2024,Mazda,ND Miata,"3,100",Clean (CA),"Los Angeles, CA 90022",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Soul Red Crystal Metallic,Black,3,33000,10/2/25,https://carsandbids.com/auctions/98VqZoae/2024-mazda-mx-5-miata-rf-club
2016,Mazda,ND Miata,"25,200",Clean (FL),"Fort Lauderdale, FL 33325",2.0L I4,Rear-wheel drive,Manual (6-Speed),Convertible,Meteor Gray Mica,Black,0,19250,9/26/25,https://carsandbids.com/auctions/rbZ0pkYy/2016-mazda-mx-5-miata-club
