year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url,image_url
1999,Porsche,996 911,"106,800",Clean (KS),"Wichita, KS 67226",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Black,Boxster Red,2,34500,4/20/26,https://carsandbids.com/auctions/3v7ZJEyv/1999-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/b39a44f305ebdd9deab9e0d03ab553aa50a0ec3e/photos/exterior/9nE04v2r-0iQfF58/edit/hjg_a.jpg?t=177569012704"
2000,Porsche,996 911,"66,500",Clean (FL),"Tampa, FL 33611",3.4L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Ocean Blue Metallic,Savanna Beige,4,21305,4/17/26,https://carsandbids.com/auctions/KV1wMjYz/2000-porsche-911-carrera-4-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/39ba75f9b610a05237adc3ca976891cd48f5832c/photos/exterior/9lb7npMK-6RR86n9/edit/FXa4B.jpg?t=177559603457"
2003,Porsche,996 911,"98,000",Clean (MN),"Minneapolis, MN 55438",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Midnight Blue Metallic,Graphite Grey,1,34500,4/14/26,https://carsandbids.com/auctions/98ZZjANm/2003-porsche-911-targa,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/7a0a3c6148108c9c64425dd85e0181fa3cccb652/photos/exterior/98wZGamX-LsDaIB2/edit/5sKd8.jpg?t=177504466606"
2000,Porsche,996 911,"73,700",Clean (CO),"Windsor, CO 80550",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic Silver Metallic,Black,1,23600,4/10/26,https://carsandbids.com/auctions/9e5Z02qj/2000-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/da6e8a1d4896127a9d2adf83461993b45339474c/photos/exterior/rNNZGVnE-Ks1eT5L/edit/3Wz5b.jpg?t=177456399496"
2004,Porsche,996 911,"80,600",Clean (CA),"Santa Monica, CA 90402",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Carrara White,Savannah Beige,2,29750,4/8/26,https://carsandbids.com/auctions/rklqpl1R/2004-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/4822e9034b0b6b357b3f73fabdfc10e586c36f68/photos/rMNQjkdZ-mo2Q6q0Opk/edit/FBpKP.jpg?t=177419042455"
2003,Porsche,996 911,"119,100",Clean (MI),"South Monroe, MI 48168",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Lapis Blue Metallic,Natural Brown,4,22500,4/3/26,https://carsandbids.com/auctions/35XoYPWZ/2003-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/51bfb8a57de0fa2a2c0fa85891abfcfeddfaf498/photos/Porsche911Carrera200320260322008.jpg?t=177429613115"
2001,Porsche,996 911,"61,400",Clean (MI),"Lansing, MI 48911",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Seal Grey Metallic,Black,3,48000,3/30/26,https://carsandbids.com/auctions/356oBPVj/2001-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/8e6341e27a680ffab7d98e42bef83b0dd1b0fb94/photos/exterior/KdD2Ax6L-VyEr71E/edit/hYz-v.jpg?t=177371628581"
2002,Porsche,996 911,"179,400",Clean (CA),"San Jose, CA 95112",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Seal Grey Metallic,Black,7,22250,3/25/26,https://carsandbids.com/auctions/9Aj8xoMA/2002-porsche-911-carrera-4s-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/20309e251cb7341d1fb94cb5d4546882260d2202/photos/KZBpWwmG-e4kejtA/edit/EacOd.jpg?t=177318255868"
2002,Porsche,996 911,"68,600",Clean (OH),"Berkey, OH 43504",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Guards Red,Black,5,37540,2/12/26,https://carsandbids.com/auctions/rE10QXdb/2002-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/7a0a3c6148108c9c64425dd85e0181fa3cccb652/photos/exterior/KYAGk6PP-GrkzznX/edit/it9d-.jpg?t=177027921686"
2000,Porsche,996 911,"84,000",Clean (CO),"Windsor, CO 80550",3.4L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Black Metallic,Savanna Beige,0,21250,2/3/26,https://carsandbids.com/auctions/9Qoq7y7k/2000-porsche-911-carrera-4-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/9004500a220bf3a3d455d15ee052cf8c332606f8/photos/interior/3RZgxpbD-c_wJakU/edit/AsZhZ.jpg?t=176905767298"
2002,Porsche,996 911,"75,400",Clean (FL),"Winter Park, FL 32792",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Meridian Metallic,Black,5,25250,1/21/26,https://carsandbids.com/auctions/KV0wvo7x/2002-porsche-911-carrera-4-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/39ba75f9b610a05237adc3ca976891cd48f5832c/photos/3LYxMa4o-34waa0isGi/edit/S9xkE.jpg?t=176805757550"
2004,Porsche,996 911,"42,800",Clean (MT),"Littleton, CO 80121",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Arctic Silver Metallic,Black,3,60000,1/20/26,https://carsandbids.com/auctions/3gQ46qGG/2004-porsche-911-turbo-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/4822e9034b0b6b357b3f73fabdfc10e586c36f68/photos/9eBlmwzj-3VVGgUn/edit/h2o3g.jpg?t=176770936134"
2003,Porsche,996 911,"104,500",Clean (CO),"Aurora, CO 80019",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Seal Gray Metallic,Graphite Gray,5,33000,1/20/26,https://carsandbids.com/auctions/KPdjq14Q/2003-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/8e6341e27a680ffab7d98e42bef83b0dd1b0fb94/photos/exterior/3LQEg5BG-dgZ2yzp/edit/z1Ita.jpg?t=176584946381"
2000,Porsche,996 911,"96,500",Clean (CO),"Loveland, CO 80538",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Arctic Silver Metallic,Graphite Grey,3,22000,1/16/26,https://carsandbids.com/auctions/rj0874qX/2000-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/59339d5e07287c702e69307de910cceaa69c1d04/photos/exterior/Kd2DEZz5-3nBOW54/edit/8rTkk.jpg?t=176780952957"
2004,Porsche,996 911,"58,000",Clean (GA),"Vero Beach, FL 32960",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Seal Gray Metallic,Graphite Gray,2,57000,1/13/26,https://carsandbids.com/auctions/KY05qY55/2004-porsche-911-turbo-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/59339d5e07287c702e69307de910cceaa69c1d04/photos/exterior/3OVYR4pg-xa4JcRt/edit/aAAJU.jpg?t=176714963595"
2001,Porsche,996 911,"56,800",Clean (WA),"Vancouver, WA 98662",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Convertible,Rainforest Green Metallic,Black,0,25050,1/9/26,https://carsandbids.com/auctions/KZ8OVeo9/2001-porsche-911-carrera-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/8e6341e27a680ffab7d98e42bef83b0dd1b0fb94/photos/exterior/3ozjD7aE-9OW-Dm9/edit/cPESv.jpg?t=176697895830"
